lossy_count memory usage (k=2000)
\begin{tabular}{lllrrr}
\hline
 Word                      & isNewWord   & Word Count   &   Delta &   Memory Usage &   \#Buckets \\
\hline
                           &             &              &       0 &             64 &          0 \\
 roméo                     & True        & 1            &       0 &            344 &          1 \\
 juliette                  & True        & 1            &       0 &            408 &          2 \\
 personnages               & True        & 1            &       0 &            472 &          3 \\
 escalus                   & True        & 1            &       0 &            528 &          4 \\
 prince                    & True        & 1            &       0 &            584 &          5 \\
 vérone                    & True        & 1            &       0 &            792 &          6 \\
 paris                     & True        & 1            &       0 &            848 &          7 \\
 jeune                     & True        & 1            &       0 &            904 &          8 \\
 seigneur                  & True        & 1            &       0 &            968 &          9 \\
 parent                    & True        & 1            &       0 &           1024 &         10 \\
 prince                    & False       & 2            &       0 &           1056 &         10 \\
 montaigu                  & True        & 1            &       0 &           1400 &         11 \\
 capulet                   & True        & 1            &       0 &           1456 &         12 \\
 chefs                     & True        & 1            &       0 &           1512 &         13 \\
 deux                      & True        & 1            &       0 &           1568 &         14 \\
 maisons                   & True        & 1            &       0 &           1624 &         15 \\
 ennemies                  & True        & 1            &       0 &           1688 &         16 \\
 vieillard                 & True        & 1            &       0 &           1752 &         17 \\
 oncle                     & True        & 1            &       0 &           1808 &         18 \\
 capulet                   & False       & 2            &       0 &           1808 &         18 \\
 roméo                     & False       & 2            &       0 &           1808 &         18 \\
 fils                      & True        & 1            &       0 &           1864 &         19 \\
 montaigu                  & False       & 2            &       0 &           1864 &         19 \\
 mercutio                  & True        & 1            &       0 &           1928 &         20 \\
 parent                    & False       & 2            &       0 &           1928 &         20 \\
 prince                    & False       & 3            &       0 &           1960 &         20 \\
 ami                       & True        & 1            &       0 &           2016 &         21 \\
 roméo                     & False       & 3            &       0 &           2016 &         21 \\
 benvolio                  & True        & 1            &       0 &           2616 &         22 \\
 neveu                     & True        & 1            &       0 &           2672 &         23 \\
 montaigu                  & False       & 3            &       0 &           2672 &         23 \\
 ami                       & False       & 2            &       0 &           2672 &         23 \\
 roméo                     & False       & 4            &       0 &           2704 &         23 \\
 tybalt                    & True        & 1            &       0 &           2760 &         24 \\
 neveu                     & False       & 2            &       0 &           2760 &         24 \\
 signora                   & True        & 1            &       0 &           2816 &         25 \\
 capulet                   & False       & 3            &       0 &           2816 &         25 \\
 frere                     & True        & 1            &       0 &           2872 &         26 \\
 laurence                  & True        & 1            &       0 &           2936 &         27 \\
 franciscain               & True        & 1            &       0 &           3000 &         28 \\
 frere                     & False       & 2            &       0 &           3000 &         28 \\
 jean                      & True        & 1            &       0 &           3056 &         29 \\
 religieux                 & True        & 1            &       0 &           3120 &         30 \\
 ordre                     & True        & 1            &       0 &           3176 &         31 \\
 balthasar                 & True        & 1            &       0 &           3240 &         32 \\
 domestique                & True        & 1            &       0 &           3304 &         33 \\
 roméo                     & False       & 5            &       0 &           3304 &         33 \\
 samson                    & True        & 1            &       0 &           3360 &         34 \\
 gregoire                  & True        & 1            &       0 &           3424 &         35 \\
 domestique                & False       & 2            &       0 &           3424 &         35 \\
 capulet                   & False       & 4            &       0 &           3456 &         35 \\
 abraham                   & True        & 1            &       0 &           3512 &         36 \\
 domestique                & False       & 3            &       0 &           3512 &         36 \\
 montaigu                  & False       & 4            &       0 &           3512 &         36 \\
 apothicaire               & True        & 1            &       0 &           3576 &         37 \\
 trois                     & True        & 1            &       0 &           3632 &         38 \\
 musiciens                 & True        & 1            &       0 &           3696 &         39 \\
 valet                     & True        & 1            &       0 &           3752 &         40 \\
 page                      & True        & 1            &       0 &           3808 &         41 \\
 pâris                     & True        & 1            &       0 &           3888 &         42 \\
 pierre                    & True        & 1            &       0 &           5040 &         43 \\
 officier                  & True        & 1            &       0 &           5104 &         44 \\
 choeur                    & True        & 1            &       0 &           5160 &         45 \\
 signora                   & False       & 2            &       0 &           5160 &         45 \\
 montaigu                  & False       & 5            &       0 &           5160 &         45 \\
 femme                     & True        & 1            &       0 &           5216 &         46 \\
 montaigu                  & False       & 6            &       0 &           5248 &         46 \\
 signora                   & False       & 3            &       0 &           5248 &         46 \\
 capulet                   & False       & 5            &       0 &           5216 &         46 \\
 femme                     & False       & 2            &       0 &           5216 &         46 \\
 capulet                   & False       & 6            &       0 &           5216 &         46 \\
 juliette                  & False       & 2            &       0 &           5216 &         46 \\
 fille                     & True        & 1            &       0 &           5272 &         47 \\
 capulet                   & False       & 7            &       0 &           5304 &         47 \\
 nourrice                  & True        & 1            &       0 &           5368 &         48 \\
 juliette                  & False       & 3            &       0 &           5368 &         48 \\
 citoyens                  & True        & 1            &       0 &           5432 &         49 \\
 vérone                    & False       & 2            &       0 &           5432 &         49 \\
 plusieurs                 & True        & 1            &       0 &           5496 &         50 \\
 hommes                    & True        & 1            &       0 &           5552 &         51 \\
 femmes                    & True        & 1            &       0 &           5608 &         52 \\
 deux                      & False       & 2            &       0 &           5608 &         52 \\
 familles                  & True        & 1            &       0 &           5672 &         53 \\
 masques                   & True        & 1            &       0 &           5728 &         54 \\
 gardes                    & True        & 1            &       0 &           5784 &         55 \\
 gens                      & True        & 1            &       0 &           5840 &         56 \\
 guet                      & True        & 1            &       0 &           5896 &         57 \\
 serviteurs                & True        & 1            &       0 &           5960 &         58 \\
 scène                     & True        & 1            &       0 &           6040 &         59 \\
 pendant                   & True        & 1            &       0 &           6096 &         60 \\
 presque                   & True        & 1            &       0 &           6152 &         61 \\
 toute                     & True        & 1            &       0 &           6208 &         62 \\
 pièce                     & True        & 1            &       0 &           6288 &         63 \\
 vérone                    & False       & 3            &       0 &           6288 &         63 \\
 cinquième                 & True        & 1            &       0 &           6376 &         64 \\
 acte                      & True        & 1            &       0 &           6432 &         65 \\
 fois                      & True        & 1            &       0 &           6488 &         66 \\
 mantoue                   & True        & 1            &       0 &           6544 &         67 \\
 prologue                  & True        & 1            &       0 &           6608 &         68 \\
 belle                     & True        & 1            &       0 &           6664 &         69 \\
 vérone                    & False       & 4            &       0 &           6696 &         69 \\
 où                        & True        & 1            &       0 &           6776 &         70 \\
 plaçons                   & True        & 1            &       0 &           6856 &         71 \\
 scène                     & False       & 2            &       0 &           6856 &         71 \\
 lantique                  & True        & 1            &       0 &           6920 &         72 \\
 haine                     & True        & 1            &       0 &           6976 &         73 \\
 deux                      & False       & 3            &       0 &           6976 &         73 \\
 maisons                   & False       & 2            &       0 &           6976 &         73 \\
 égales                    & True        & 1            &       0 &           7056 &         74 \\
 dignité                   & True        & 1            &       0 &           7136 &         75 \\
 vient                     & True        & 1            &       0 &           7192 &         76 \\
 déclater                  & True        & 1            &       0 &           7280 &         77 \\
 nouveaux                  & True        & 1            &       0 &           7344 &         78 \\
 troubles                  & True        & 1            &       0 &           7408 &         79 \\
 où                        & False       & 2            &       0 &           7408 &         79 \\
 sang                      & True        & 1            &       0 &           7464 &         80 \\
 citoyens                  & False       & 2            &       0 &           7464 &         80 \\
 a                         & True        & 1            &       0 &           7520 &         81 \\
 souillé                   & True        & 1            &       0 &           7600 &         82 \\
 mains                     & True        & 1            &       0 &           7656 &         83 \\
 citoyens                  & False       & 3            &       0 &           7656 &         83 \\
 race                      & True        & 1            &       0 &           7712 &         84 \\
 funeste                   & True        & 1            &       0 &           7768 &         85 \\
 deux                      & False       & 4            &       0 &           7768 &         85 \\
 ennemis                   & True        & 1            &       0 &          10248 &         86 \\
 a                         & False       & 2            &       0 &          10248 &         86 \\
 pris                      & True        & 1            &       0 &          10304 &         87 \\
 naissance                 & True        & 1            &       0 &          10368 &         88 \\
 sous                      & True        & 1            &       0 &          10424 &         89 \\
 étoiles                   & True        & 1            &       0 &          10504 &         90 \\
 funestes                  & True        & 1            &       0 &          10568 &         91 \\
 couple                    & True        & 1            &       0 &          10624 &         92 \\
 damants                   & True        & 1            &       0 &          10680 &         93 \\
 infortunés                & True        & 1            &       0 &          10768 &         94 \\
 dont                      & True        & 1            &       0 &          10824 &         95 \\
 malheurs                  & True        & 1            &       0 &          10888 &         96 \\
 ruine                     & True        & 1            &       0 &          10944 &         97 \\
 déplorable                & True        & 1            &       0 &          11032 &         98 \\
 enseveliront              & True        & 1            &       0 &          11096 &         99 \\
 luttes                    & True        & 1            &       0 &          11152 &        100 \\
 leurs                     & True        & 1            &       0 &          11208 &        101 \\
 parents                   & True        & 1            &       0 &          11264 &        102 \\
 lépisode                  & True        & 1            &       0 &          11352 &        103 \\
 terrible                  & True        & 1            &       0 &          11416 &        104 \\
 cet                       & True        & 1            &       0 &          11472 &        105 \\
 amour                     & True        & 1            &       0 &          11528 &        106 \\
 marqué                    & True        & 1            &       0 &          11608 &        107 \\
 mort                      & True        & 1            &       0 &          11664 &        108 \\
 lobstination              & True        & 1            &       0 &          11728 &        109 \\
 leurs                     & False       & 2            &       0 &          11728 &        109 \\
 parents                   & False       & 2            &       0 &          11728 &        109 \\
 fureurs                   & True        & 1            &       0 &          11784 &        110 \\
 dont                      & False       & 2            &       0 &          11784 &        110 \\
 mort                      & False       & 2            &       0 &          11784 &        110 \\
 leurs                     & False       & 3            &       0 &          11784 &        110 \\
 enfants                   & True        & 1            &       0 &          11840 &        111 \\
 peut                      & True        & 1            &       0 &          11896 &        112 \\
 seule                     & True        & 1            &       0 &          11952 &        113 \\
 terminer                  & True        & 1            &       0 &          12016 &        114 \\
 cours                     & True        & 1            &       0 &          12072 &        115 \\
 vont                      & True        & 1            &       0 &          12128 &        116 \\
 pendant                   & False       & 2            &       0 &          12128 &        116 \\
 deux                      & False       & 5            &       0 &          12128 &        116 \\
 heures                    & True        & 1            &       0 &          12184 &        117 \\
 occuper                   & True        & 1            &       0 &          12240 &        118 \\
 scène                     & False       & 3            &       0 &          12240 &        118 \\
 si                        & True        & 1            &       0 &          12296 &        119 \\
 prêtez                    & True        & 1            &       0 &          12376 &        120 \\
 faveur                    & True        & 1            &       0 &          12432 &        121 \\
 dune                      & True        & 1            &       0 &          12488 &        122 \\
 oreille                   & True        & 1            &       0 &          12544 &        123 \\
 attentive                 & True        & 1            &       0 &          12608 &        124 \\
 travaillerons             & True        & 1            &       0 &          12672 &        125 \\
 efforts                   & True        & 1            &       0 &          12728 &        126 \\
 perfectionner             & True        & 1            &       0 &          12792 &        127 \\
 pourrait                  & True        & 1            &       0 &          12856 &        128 \\
 manquer                   & True        & 1            &       0 &          12912 &        129 \\
 ici                       & True        & 1            &       0 &          12968 &        130 \\
 acte                      & False       & 2            &       0 &          12968 &        130 \\
 premier                   & True        & 1            &       0 &          13024 &        131 \\
 scène                     & False       & 4            &       0 &          13024 &        131 \\
 i                         & True        & 1            &       0 &          13080 &        132 \\
 place                     & True        & 1            &       0 &          13136 &        133 \\
 publique                  & True        & 1            &       0 &          13200 &        134 \\
 entrent                   & True        & 1            &       0 &          13256 &        135 \\
 samson                    & False       & 2            &       0 &          13256 &        135 \\
 grégoire                  & True        & 1            &       0 &          13344 &        136 \\
 armés                     & True        & 1            &       0 &          13424 &        137 \\
 dépées                    & True        & 1            &       0 &          13504 &        138 \\
 boucliers                 & True        & 1            &       0 &          13568 &        139 \\
 samsontiens               & True        & 1            &       0 &          13632 &        140 \\
 grégoire                  & False       & 2            &       0 &          13632 &        140 \\
 parole                    & True        & 1            &       0 &          13688 &        141 \\
 fera                      & True        & 1            &       0 &          13744 &        142 \\
 plus                      & True        & 1            &       0 &          13800 &        143 \\
 avaler                    & True        & 1            &       0 &          13856 &        144 \\
 pilules4                  & True        & 1            &       0 &          13920 &        145 \\
 note                      & True        & 1            &       0 &          13976 &        146 \\
 4                         & True        & 1            &       0 &          14032 &        147 \\
 samson                    & False       & 3            &       0 &          14032 &        147 \\
 gregory                   & True        & 1            &       0 &          14088 &        148 \\
 omy                       & True        & 1            &       0 &          14144 &        149 \\
 word                      & True        & 1            &       0 &          14200 &        150 \\
 well                      & True        & 1            &       0 &          14256 &        151 \\
 not                       & True        & 1            &       0 &          14312 &        152 \\
 carry                     & True        & 1            &       0 &          14368 &        153 \\
 coals                     & True        & 1            &       0 &          14424 &        154 \\
 gregory                   & False       & 2            &       0 &          14424 &        154 \\
 no                        & True        & 1            &       0 &          14480 &        155 \\
 for                       & True        & 1            &       0 &          14536 &        156 \\
 then                      & True        & 1            &       0 &          14592 &        157 \\
 we                        & True        & 1            &       0 &          14648 &        158 \\
 should                    & True        & 1            &       0 &          14704 &        159 \\
 be                        & True        & 1            &       0 &          14760 &        160 \\
 colliers                  & True        & 1            &       0 &          14824 &        161 \\
 samson                    & False       & 4            &       0 &          14824 &        161 \\
 i                         & False       & 2            &       0 &          14824 &        161 \\
 mean                      & True        & 1            &       0 &          14880 &        162 \\
 an                        & True        & 1            &       0 &          14936 &        163 \\
 we                        & False       & 2            &       0 &          14936 &        163 \\
 be                        & False       & 2            &       0 &          14936 &        163 \\
 in                        & True        & 1            &       0 &          14992 &        164 \\
 choler                    & True        & 1            &       0 &          15048 &        165 \\
 well                      & False       & 2            &       0 &          15048 &        165 \\
 draw                      & True        & 1            &       0 &          15104 &        166 \\
 gregory                   & False       & 3            &       0 &          15104 &        166 \\
 ay                        & True        & 1            &       0 &          15160 &        167 \\
 while                     & True        & 1            &       0 &          15216 &        168 \\
 you                       & True        & 1            &       0 &          15272 &        169 \\
 live                      & True        & 1            &       0 &          15328 &        170 \\
 draw                      & False       & 2            &       0 &          15328 &        170 \\
 your                      & True        & 1            &       0 &          20000 &        171 \\
 neck                      & True        & 1            &       0 &          20056 &        172 \\
 out                       & True        & 1            &       0 &          20112 &        173 \\
 othe                      & True        & 1            &       0 &          20168 &        174 \\
 collar                    & True        & 1            &       0 &          20224 &        175 \\
 carry                     & False       & 2            &       0 &          20224 &        175 \\
 coals                     & False       & 2            &       0 &          20224 &        175 \\
 porter                    & True        & 1            &       0 &          20280 &        176 \\
 charbon                   & True        & 1            &       0 &          20336 &        177 \\
 temps                     & True        & 1            &       0 &          20392 &        178 \\
 shakspeare                & True        & 1            &       0 &          20456 &        179 \\
 expression                & True        & 1            &       0 &          20520 &        180 \\
 proverbiale               & True        & 1            &       0 &          20584 &        181 \\
 anglais                   & True        & 1            &       0 &          20640 &        182 \\
 dire                      & True        & 1            &       0 &          20696 &        183 \\
 supporter                 & True        & 1            &       0 &          20760 &        184 \\
 injures                   & True        & 1            &       0 &          20816 &        185 \\
 samson                    & False       & 5            &       0 &          20816 &        185 \\
 jouant                    & True        & 1            &       0 &          20872 &        186 \\
 deux                      & False       & 6            &       0 &          20872 &        186 \\
 sens                      & True        & 1            &       0 &          20928 &        187 \\
 cette                     & True        & 1            &       0 &          20984 &        188 \\
 expression                & False       & 2            &       0 &          20984 &        188 \\
 répond                    & True        & 1            &       0 &          21064 &        189 \\
 non                       & True        & 1            &       0 &          21120 &        190 \\
 car                       & True        & 1            &       0 &          21176 &        191 \\
 charbonniers              & True        & 1            &       0 &          21240 &        192 \\
 a                         & False       & 3            &       0 &          21240 &        192 \\
 fallu                     & True        & 1            &       0 &          21296 &        193 \\
 changer                   & True        & 1            &       0 &          21352 &        194 \\
 cette                     & False       & 2            &       0 &          21352 &        194 \\
 réplique                  & True        & 1            &       0 &          21440 &        195 \\
 samson                    & False       & 6            &       0 &          21440 &        195 \\
 quelle                    & True        & 1            &       0 &          21496 &        196 \\
 rapportât                 & True        & 1            &       0 &          21584 &        197 \\
 lexpression               & True        & 1            &       0 &          21648 &        198 \\
 avaler                    & False       & 2            &       0 &          21648 &        198 \\
 pilules                   & True        & 1            &       0 &          21704 &        199 \\
 seule                     & False       & 2            &       0 &          21704 &        199 \\
 français                  & True        & 1            &       0 &          21792 &        200 \\
 puisse                    & True        & 1            &       0 &          21848 &        201 \\
 rendre                    & True        & 1            &       0 &          21904 &        202 \\
 carry                     & False       & 3            &       0 &          21904 &        202 \\
 coals                     & False       & 3            &       0 &          21904 &        202 \\
 a                         & False       & 4            &       0 &          21904 &        202 \\
 obligé                    & True        & 1            &       0 &          21984 &        203 \\
 quelques                  & True        & 1            &       0 &          22048 &        204 \\
 légères                   & True        & 1            &       0 &          22128 &        205 \\
 altérations               & True        & 1            &       0 &          22216 &        206 \\
 deux                      & False       & 7            &       0 &          22216 &        206 \\
 répliques                 & True        & 1            &       0 &          22304 &        207 \\
 suivantes                 & True        & 1            &       0 &          22368 &        208 \\
 dont                      & False       & 3            &       0 &          22368 &        208 \\
 plaisanterie              & True        & 1            &       0 &          22432 &        209 \\
 porte                     & True        & 1            &       0 &          22488 &        210 \\
 consonance                & True        & 1            &       0 &          22552 &        211 \\
 mots                      & True        & 1            &       0 &          22608 &        212 \\
 choler                    & False       & 2            &       0 &          22608 &        212 \\
 colère                    & True        & 1            &       0 &          22688 &        213 \\
 collar                    & False       & 2            &       0 &          22688 &        213 \\
 collier                   & True        & 1            &       0 &          22744 &        214 \\
 collier                   & False       & 2            &       0 &          22744 &        214 \\
 fer                       & True        & 1            &       0 &          22800 &        215 \\
 liberté                   & True        & 1            &       0 &          22880 &        216 \\
 plus                      & False       & 2            &       0 &          22880 &        216 \\
 grandes                   & True        & 1            &       0 &          22936 &        217 \\
 encore                    & True        & 1            &       0 &          22992 &        218 \\
 souvent                   & True        & 1            &       0 &          23048 &        219 \\
 indispensables            & True        & 1            &       0 &          23112 &        220 \\
 cours                     & False       & 2            &       0 &          23112 &        220 \\
 cette                     & False       & 3            &       0 &          23112 &        220 \\
 pièce                     & False       & 2            &       0 &          23112 &        220 \\
 donner                    & True        & 1            &       0 &          23168 &        221 \\
 sens                      & False       & 2            &       0 &          23168 &        221 \\
 quelconque                & True        & 1            &       0 &          23232 &        222 \\
 cette                     & False       & 4            &       0 &          23232 &        222 \\
 suite                     & True        & 1            &       0 &          23288 &        223 \\
 jeux                      & True        & 1            &       0 &          23344 &        224 \\
 mots                      & False       & 2            &       0 &          23344 &        224 \\
 calembours                & True        & 1            &       0 &          23408 &        225 \\
 quolibets                 & True        & 1            &       0 &          23472 &        226 \\
 dont                      & False       & 4            &       0 &          23472 &        226 \\
 compose                   & True        & 1            &       0 &          23528 &        227 \\
 durant                    & True        & 1            &       0 &          23584 &        228 \\
 deux                      & False       & 8            &       0 &          23616 &        228 \\
 premiers                  & True        & 1            &       0 &          23680 &        229 \\
 actes                     & True        & 1            &       0 &          23736 &        230 \\
 conversation              & True        & 1            &       0 &          23800 &        231 \\
 presque                   & False       & 2            &       0 &          23800 &        231 \\
 tous                      & True        & 1            &       0 &          23856 &        232 \\
 personnages               & False       & 2            &       0 &          23856 &        232 \\
 aussi                     & True        & 1            &       0 &          23912 &        233 \\
 éviter                    & True        & 1            &       0 &          23992 &        234 \\
 adoucir                   & True        & 1            &       0 &          24048 &        235 \\
 quelques                  & False       & 2            &       0 &          24048 &        235 \\
 plaisanteries             & True        & 1            &       0 &          24112 &        236 \\
 trop                      & True        & 1            &       0 &          24168 &        237 \\
 grossières                & True        & 1            &       0 &          24256 &        238 \\
 cest                      & True        & 1            &       0 &          24312 &        239 \\
 travail                   & True        & 1            &       0 &          24368 &        240 \\
 ingrat                    & True        & 1            &       0 &          24424 &        241 \\
 autant                    & True        & 1            &       0 &          24480 &        242 \\
 rebutant                  & True        & 1            &       0 &          24544 &        243 \\
 chercher                  & True        & 1            &       0 &          24608 &        244 \\
 partie                    & True        & 1            &       0 &          24664 &        245 \\
 burlesque                 & True        & 1            &       0 &          24728 &        246 \\
 langue                    & True        & 1            &       0 &          24784 &        247 \\
 quoi                      & True        & 1            &       0 &          24840 &        248 \\
 travestir                 & True        & 1            &       0 &          24904 &        249 \\
 convenablement            & True        & 1            &       0 &          24968 &        250 \\
 bouffonneries             & True        & 1            &       0 &          25032 &        251 \\
 où                        & False       & 3            &       0 &          25032 &        251 \\
 lesprit                   & True        & 1            &       0 &          25088 &        252 \\
 peut                      & False       & 2            &       0 &          25088 &        252 \\
 découvrir                 & True        & 1            &       0 &          25176 &        253 \\
 dautre                    & True        & 1            &       0 &          25232 &        254 \\
 mérite                    & True        & 1            &       0 &          25312 &        255 \\
 celui                     & True        & 1            &       0 &          25368 &        256 \\
 quelles                   & True        & 1            &       0 &          25424 &        257 \\
 empruntent                & True        & 1            &       0 &          25488 &        258 \\
 grotesque                 & True        & 1            &       0 &          25552 &        259 \\
 attirail                  & True        & 1            &       0 &          25616 &        260 \\
 où                        & False       & 4            &       0 &          25616 &        260 \\
 lon                       & True        & 1            &       0 &          25672 &        261 \\
 chaque                    & True        & 1            &       0 &          25728 &        262 \\
 instant                   & True        & 1            &       0 &          25784 &        263 \\
 tenté                     & True        & 1            &       0 &          25864 &        264 \\
 demander                  & True        & 1            &       0 &          25928 &        265 \\
 pardon                    & True        & 1            &       0 &          25984 &        266 \\
 lecteur                   & True        & 1            &       0 &          26040 &        267 \\
 peine                     & True        & 1            &       0 &          26096 &        268 \\
 quon                      & True        & 1            &       0 &          26152 &        269 \\
 prend                     & True        & 1            &       0 &          26208 &        270 \\
 transmettre               & True        & 1            &       0 &          26272 &        271 \\
 puérilités                & True        & 1            &       0 &          26360 &        272 \\
 cest                      & False       & 2            &       0 &          26360 &        272 \\
 shakspeare                & False       & 2            &       0 &          26360 &        272 \\
 quil                      & True        & 1            &       0 &          26416 &        273 \\
 sagit                     & True        & 1            &       0 &          26472 &        274 \\
 faire                     & True        & 1            &       0 &          26528 &        275 \\
 connaître                 & True        & 1            &       0 &          26616 &        276 \\
 moins                     & True        & 1            &       0 &          26672 &        277 \\
 goût                      & True        & 1            &       0 &          26752 &        278 \\
 temps                     & False       & 2            &       0 &          26752 &        278 \\
 doù                       & True        & 1            &       0 &          26832 &        279 \\
 sorti                     & True        & 1            &       0 &          26888 &        280 \\
 shakspeare                & False       & 3            &       0 &          26888 &        280 \\
 grégoirenon               & True        & 1            &       0 &          26976 &        281 \\
 car                       & False       & 2            &       0 &          26976 &        281 \\
 elles                     & True        & 1            &       0 &          27032 &        282 \\
 pourraient                & True        & 1            &       0 &          27096 &        283 \\
 bien                      & True        & 1            &       0 &          27152 &        284 \\
