lossy_count memory usage (k=2000)
\begin{tabular}{lllrrr}
\hline
 Word                      & isNewWord   & Word Count   &   Delta &   Memory Usage &   \#Buckets \\
 donner                    & False       & 2            &       0 &          27152 &        284 \\
 colique                   & True        & 1            &       0 &          27208 &        285 \\
 samsonje                  & True        & 1            &       0 &          27272 &        286 \\
 veux                      & True        & 1            &       0 &          27328 &        287 \\
 dire                      & False       & 2            &       0 &          27328 &        287 \\
 si                        & False       & 2            &       0 &          27328 &        287 \\
 fâche                     & True        & 1            &       0 &          27408 &        288 \\
 faudra                    & True        & 1            &       0 &          27464 &        289 \\
 être                      & True        & 1            &       0 &          27544 &        290 \\
 francs                    & True        & 1            &       0 &          27600 &        291 \\
 collier                   & False       & 3            &       0 &          27600 &        291 \\
 grégoirefranc             & True        & 1            &       0 &          27688 &        292 \\
 toute                     & False       & 2            &       0 &          27688 &        292 \\
 vie                       & True        & 1            &       0 &          27744 &        293 \\
 collier                   & False       & 4            &       0 &          27744 &        293 \\
 bourreau                  & True        & 1            &       0 &          27808 &        294 \\
 nestce                    & True        & 1            &       0 &          27864 &        295 \\
 samsonje                  & False       & 2            &       0 &          27864 &        295 \\
 prompt                    & True        & 1            &       0 &          27920 &        296 \\
 taper                     & True        & 1            &       0 &          27976 &        297 \\
 quand                     & True        & 1            &       0 &          28032 &        298 \\
 mets                      & True        & 1            &       0 &          28088 &        299 \\
 train                     & True        & 1            &       0 &          28144 &        300 \\
 grégoiremais              & True        & 1            &       0 &          28232 &        301 \\
 nes                       & True        & 1            &       0 &          28288 &        302 \\
 prompt                    & False       & 2            &       0 &          28288 &        302 \\
 mettre                    & True        & 1            &       0 &          28344 &        303 \\
 train                     & False       & 2            &       0 &          28344 &        303 \\
 taper                     & False       & 2            &       0 &          28344 &        303 \\
 samsonla                  & True        & 1            &       0 &          28408 &        304 \\
 vue                       & True        & 1            &       0 &          28464 &        305 \\
 dun                       & True        & 1            &       0 &          28520 &        306 \\
 chiens                    & True        & 1            &       0 &          28576 &        307 \\
 montaigu                  & False       & 7            &       0 &          28576 &        307 \\
 remue                     & True        & 1            &       0 &          28632 &        308 \\
 tout                      & True        & 1            &       0 &          28688 &        309 \\
 corps                     & True        & 1            &       0 &          28744 &        310 \\
 grégoireon                & True        & 1            &       0 &          28832 &        311 \\
 remue                     & False       & 2            &       0 &          28832 &        311 \\
 courir                    & True        & 1            &       0 &          28888 &        312 \\
 quand                     & False       & 2            &       0 &          28888 &        312 \\
 brave                     & True        & 1            &       0 &          28944 &        313 \\
 tient                     & True        & 1            &       0 &          29000 &        314 \\
 ferme                     & True        & 1            &       0 &          29056 &        315 \\
 cest                      & False       & 3            &       0 &          29056 &        315 \\
 cela                      & True        & 1            &       0 &          29112 &        316 \\
 lorsquon                  & True        & 1            &       0 &          29176 &        317 \\
 remue                     & False       & 3            &       0 &          29176 &        317 \\
 sauves                    & True        & 1            &       0 &          29232 &        318 \\
 samsonun                  & True        & 1            &       0 &          29296 &        319 \\
 chien                     & True        & 1            &       0 &          29352 &        320 \\
 cette                     & False       & 5            &       0 &          29352 &        320 \\
 maison                    & True        & 1            &       0 &          29408 &        321 \\
 remuera                   & True        & 1            &       0 &          29464 &        322 \\
 telle                     & True        & 1            &       0 &          29520 &        323 \\
 sorte                     & True        & 1            &       0 &          29576 &        324 \\
 tiendrai                  & True        & 1            &       0 &          29640 &        325 \\
 ferme                     & False       & 2            &       0 &          29640 &        325 \\
 prendrai                  & True        & 1            &       0 &          29704 &        326 \\
 côté                      & True        & 1            &       0 &          29784 &        327 \\
 mur                       & True        & 1            &       0 &          29840 &        328 \\
 tout                      & False       & 2            &       0 &          29840 &        328 \\
 homme                     & True        & 1            &       0 &          29896 &        329 \\
 femme                     & False       & 3            &       0 &          29896 &        329 \\
 montaigu                  & False       & 8            &       0 &          29896 &        329 \\
 grégoirecest              & True        & 1            &       0 &          29984 &        330 \\
 prouve                    & True        & 1            &       0 &          30040 &        331 \\
 nes                       & False       & 2            &       0 &          30040 &        331 \\
 quun                      & True        & 1            &       0 &          30096 &        332 \\
