fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 vergiß                   & 0                    &          40256 & 343                \\
 denken                   & 0                    &          40256 & 343                \\
 romeo                    & 7                    &          40256 & 343                \\
 lehre                    & 1                    &          40312 & 344                \\
 denken                   & 1                    &          40368 & 345                \\
 vergessen                & 0                    &          40368 & 345                \\
 benvolio                 & 12                   &          40368 & 345                \\
 gib                      & 1                    &          40424 & 346                \\
 augen                    & 0                    &          40424 & 346                \\
 freiheit                 & 1                    &          40488 & 347                \\
 lenke                    & 1                    &          40544 & 348                \\
 andre                    & 1                    &          40600 & 349                \\
 reize                    & 1                    &          40656 & 350                \\
 romeo                    & 7                    &          40656 & 350                \\
 reiz                     & 1                    &          40656 & 350                \\
 vollem                   & 1                    &          40712 & 351                \\
 licht                    & 2                    &          40712 & 351                \\
 zeigen                   & 1                    &          40768 & 352                \\
 schwärze                 & 1                    &          40856 & 353                \\
 neidenswerten            & 1                    &          40920 & 354                \\
 larven                   & 1                    &          40976 & 355                \\
 schöner                  & 1                    &          41056 & 356                \\
 frauen                   & 2                    &          41056 & 356                \\
 stirne                   & 1                    &          41112 & 357                \\
 küssen                   & 1                    &          41192 & 358                \\
 bringt                   & 2                    &          41192 & 358                \\
 sinn                     & 1                    &          41248 & 359                \\
 schöne                   & 1                    &          41328 & 360                \\
 bergen                   & 0                    &          41328 & 360                \\
 blindheit                & 0                    &          41328 & 360                \\
 schlug                   & 2                    &          41328 & 360                \\
 nie                      & 0                    &          41328 & 360                \\
 kleinod                  & 0                    &          41328 & 360                \\
 eingebüßten              & 1                    &          41416 & 361                \\
 augenlichts              & 0                    &          41416 & 361                \\
 vergessen                & 1                    &          41480 & 362                \\
 zeigt                    & 0                    &          41480 & 362                \\
 weib                     & 1                    &          41536 & 363                \\
 unübertroffen            & 1                    &          41624 & 364                \\
 schön                    & 1                    &          41704 & 365                \\
 gilt                     & 1                    &          41760 & 366                \\
 reiz                     & 2                    &          41760 & 366                \\
 weisung                  & 1                    &          41816 & 367                \\
 worin                    & 0                    &          41816 & 367                \\
 lese                     & 0                    &          41816 & 367                \\
 wer                      & 1                    &          41872 & 368                \\
 übertrifft               & 1                    &          41960 & 369                \\
 leb                      & 1                    &          42016 & 370                \\
 wohl                     & 2                    &          42016 & 370                \\
 vergessen                & 2                    &          42016 & 370                \\
 lehrest                  & 1                    &          42072 & 371                \\
 nie                      & 0                    &          42072 & 371                \\
 benvolio                 & 12                   &          42072 & 371                \\
 schuldner                & 0                    &          42072 & 371                \\
 sterb                    & 0                    &          42072 & 371                \\
 glückt                   & 0                    &          42072 & 371                \\
 müh                      & 1                    &          42072 & 371                \\
 beide                    & 0                    &          42072 & 371                \\
 ab                       & 1                    &          42128 & 372                \\
 zweite                   & 0                    &          42128 & 372                \\
 szene                    & 2                    &          42128 & 372                \\
 straße                   & 0                    &          42128 & 372                \\
 capulet                  & 6                    &          42128 & 372                \\
 paris                    & 1                    &          42184 & 373                \\
 diener                   & 3                    &          42184 & 373                \\
 kommen                   & 2                    &          42184 & 373                \\
 capulet                  & 7                    &          42184 & 373                \\
 montague                 & 5                    &          42184 & 373                \\
 buße                     & 1                    &          42264 & 374                \\
 bedroht                  & 1                    &          42320 & 375                \\
 greise                   & 1                    &          42376 & 376                \\
 frieden                  & 1                    &          42376 & 376                \\
 halten                   & 1                    &          42432 & 377                \\
 denk                     & 1                    &          42488 & 378                \\
 schwer                   & 0                    &          42488 & 378                \\
 paris                    & 2                    &          42488 & 378                \\
 geltet                   & 1                    &          42544 & 379                \\
 beid                     & 1                    &          42600 & 380                \\
 ehrenwerte               & 0                    &          42600 & 380                \\
 männer                   & 1                    &          42680 & 381                \\
 jammer                   & 0                    &          42680 & 381                \\
 ists                     & 1                    &          42736 & 382                \\
 langen                   & 1                    &          42792 & 383                \\
 zwiespalt                & 0                    &          42792 & 383                \\
 edler                    & 1                    &          42792 & 383                \\
 graf                     & 2                    &          42792 & 383                \\
 dünkt                    & 1                    &          42872 & 384                \\
 gesuch                   & 1                    &          42928 & 385                \\
 capulet                  & 7                    &          42928 & 385                \\
 dünkt                    & 2                    &          42928 & 385                \\
 vorhin                   & 1                    &          42984 & 386                \\
 gesagt                   & 0                    &          42984 & 386                \\
 kind                     & 1                    &          43040 & 387                \\
 fremdling                & 1                    &          43104 & 388                \\
 welt                     & 1                    &          43104 & 388                \\
 kaum                     & 0                    &          43104 & 388                \\
 vierzehn                 & 1                    &          43168 & 389                \\
 jahre                    & 0                    &          43168 & 389                \\
 wechseln                 & 1                    &          43232 & 390                \\
 sehn                     & 0                    &          43232 & 390                \\
 laßt                     & 1                    &          43232 & 390                \\
 zwei                     & 2                    &          43232 & 390                \\
 sommer                   & 0                    &          43232 & 390                \\
 prangen                  & 0                    &          43232 & 390                \\
 verschwinden             & 1                    &          43296 & 391                \\
 eh                       & 2                    &          43296 & 391                \\
 reif                     & 1                    &          43352 & 392                \\
 braut                    & 0                    &          43352 & 392                \\
 finden                   & 1                    &          43408 & 393                \\
 paris                    & 3                    &          43408 & 393                \\
 jüngre                   & 1                    &          43488 & 394                \\
 wurden                   & 1                    &          43544 & 395                \\
 oft                      & 0                    &          43544 & 395                \\
 beglückte                & 1                    &          43632 & 396                \\
 mütter                   & 1                    &          43712 & 397                \\
 capulet                  & 8                    &          43744 & 397                \\
 wer                      & 2                    &          43744 & 397                \\
 zeit                     & 1                    &          43800 & 398                \\
 beginnt                  & 1                    &          43856 & 399                \\
 endigt                   & 0                    &          43856 & 399                \\
 früh                     & 0                    &          43856 & 399                \\
 all                      & 1                    &          43912 & 400                \\
 hoffnungen               & 1                    &          43976 & 401                \\
 verschlang               & 1                    &          44040 & 402                \\
 erde                     & 0                    &          44040 & 402                \\
 blieb                    & 0                    &          44040 & 402                \\
 hoffnungsvolle           & 0                    &          44040 & 402                \\
 kind                     & 2                    &          44040 & 402                \\
 werbt                    & 1                    &          44096 & 403                \\
 lieber                   & 2                    &          44096 & 403                \\
 graf                     & 3                    &          44096 & 403                \\
 sucht                    & 2                    &          44096 & 403                \\
 heil                     & 2                    &          44096 & 403                \\
 teil                     & 1                    &          44152 & 404                \\
 wahl                     & 1                    &          44208 & 405                \\
 bitten                   & 0                    &          44208 & 405                \\
 willigt                  & 0                    &          44208 & 405                \\
 voraus                   & 1                    &          44264 & 406                \\
 wort                     & 3                    &          44264 & 406                \\
 gebilligt                & 0                    &          44264 & 406                \\
 gebe                     & 1                    &          44320 & 407                \\
 heut                     & 0                    &          44320 & 407                \\
 fest                     & 0                    &          44320 & 407                \\
 alters                   & 0                    &          44320 & 407                \\
 hergebracht              & 1                    &          44384 & 408                \\
 lud                      & 1                    &          44440 & 409                \\
 darauf                   & 0                    &          44440 & 409                \\
 gäste                    & 0                    &          44440 & 409                \\
 nacht                    & 1                    &          44440 & 409                \\
 freunde                  & 0                    &          44440 & 409                \\
 gehöret                  & 0                    &          44440 & 409                \\
 sollt                    & 0                    &          44440 & 409                \\
 hoch                     & 1                    &          44496 & 410                \\
 willkommen               & 1                    &          44560 & 411                \\
 zahl                     & 1                    &          44616 & 412                \\
 vermehret                & 0                    &          44616 & 412                \\
 armen                    & 0                    &          44616 & 412                \\
 haus                     & 0                    &          44616 & 412                \\
 sollt                    & 0                    &          44616 & 412                \\
 himmels                  & 0                    &          44616 & 412                \\
 glanz                    & 0                    &          44616 & 412                \\
 heut                     & 1                    &          44672 & 413                \\
 nacht                    & 1                    &          44672 & 413                \\
 verdunkelt               & 1                    &          44736 & 414                \\
 sehn                     & 0                    &          44736 & 414                \\
 irdscher                 & 0                    &          44736 & 414                \\
 sterne                   & 1                    &          44792 & 415                \\
 tanz                     & 1                    &          44848 & 416                \\
 muntre                   & 1                    &          44904 & 417                \\
 jünglinge                & 1                    &          44992 & 418                \\
 neuem                    & 0                    &          44992 & 418                \\
 mut                      & 2                    &          44992 & 418                \\
 freuen                   & 0                    &          44992 & 418                \\
 fersen                   & 1                    &          45048 & 419                \\
 fuß                      & 1                    &          45128 & 420                \\
 holden                   & 1                    &          45184 & 421                \\
 maien                    & 1                    &          45240 & 422                \\
 lahmen                   & 1                    &          45296 & 423                \\
 winter                   & 1                    &          45352 & 424                \\
 tritt                    & 2                    &          45352 & 424                \\
 lust                     & 0                    &          45352 & 424                \\
 steht                    & 1                    &          45408 & 425                \\
 bevor                    & 0                    &          45408 & 425                \\
 wann                     & 0                    &          45408 & 425                \\
 haus                     & 1                    &          45464 & 426                \\
 frischer                 & 1                    &          45528 & 427                \\
 mädchenflor              & 0                    &          45528 & 427                \\
 seit                     & 0                    &          45528 & 427                \\
 umgibt                   & 0                    &          45528 & 427                \\
 hört                     & 2                    &          45528 & 427                \\
 seht                     & 1                    &          45584 & 428                \\
 schönsten                & 1                    &          45672 & 429                \\
 prangt                   & 1                    &          45728 & 430                \\
 meisten                  & 1                    &          45784 & 431                \\
 gefalle                  & 1                    &          45840 & 432                \\
 mögt                     & 0                    &          45840 & 432                \\
 zahl                     & 1                    &          45840 & 432                \\
 tochter                  & 1                    &          45896 & 433                \\
 sehn                     & 1                    &          45952 & 434                \\
 zählt                    & 0                    &          45952 & 434                \\
 gilt                     & 2                    &          45952 & 434                \\
 schon                    & 4                    &          45952 & 434                \\
 schön                    & 1                    &          45952 & 434                \\
 kommt                    & 1                    &          45952 & 434                \\
 geht                     & 1                    &          46008 & 435                \\
 mirdu                    & 1                    &          46064 & 436                \\
 bursch                   & 0                    &          46064 & 436                \\
 nimm                     & 2                    &          46064 & 436                \\
 papier                   & 0                    &          46064 & 436                \\
 namen                    & 0                    &          46064 & 436                \\
 trab                     & 0                    &          46064 & 436                \\
 stadt                    & 0                    &          46064 & 436                \\
 herum                    & 1                    &          46120 & 437                \\
 such                     & 0                    &          46120 & 437                \\
 herrn                    & 2                    &          46120 & 437                \\
 damen                    & 1                    &          46176 & 438                \\
 geschrieben              & 0                    &          46176 & 438                \\
 stehn                    & 0                    &          46176 & 438                \\
 übergibt                 & 1                    &          46264 & 439                \\
 papier                   & 0                    &          46264 & 439                \\
 sag                      & 3                    &          46264 & 439                \\
 höflichkeit              & 1                    &          46352 & 440                \\
 haus                     & 1                    &          46352 & 440                \\
 empfang                  & 1                    &          46408 & 441                \\
 steh                     & 0                    &          46408 & 441                \\
 dienst                   & 0                    &          46408 & 441                \\
 bereit                   & 1                    &          46464 & 442                \\
 capulet                  & 8                    &          46464 & 442                \\
 paris                    & 4                    &          46464 & 442                \\
 gehen                    & 3                    &          46464 & 442                \\
 ab                       & 1                    &          46464 & 442                \\
 diener                   & 4                    &          46464 & 442                \\
 leute                    & 1                    &          46520 & 443                \\
 suchen                   & 0                    &          46520 & 443                \\
 wovon                    & 0                    &          46520 & 443                \\
 namen                    & 0                    &          46520 & 443                \\
 geschrieben              & 0                    &          46520 & 443                \\
 stehn                    & 1                    &          46576 & 444                \\
 steht                    & 1                    &          46576 & 444                \\
 geschrieben              & 0                    &          46576 & 444                \\
 schuster                 & 0                    &          46576 & 444                \\
 elle                     & 1                    &          46632 & 445                \\
 kümmern                  & 0                    &          46632 & 445                \\
 schneider                & 1                    &          46696 & 446                \\
 leisten                  & 0                    &          46696 & 446                \\
 fischer                  & 0                    &          46696 & 446                \\
 pinsel                   & 1                    &          46752 & 447                \\
 maler                    & 1                    &          46808 & 448                \\
 netze                    & 0                    &          46808 & 448                \\
 schicken                 & 0                    &          46808 & 448                \\
 leute                    & 2                    &          46808 & 448                \\
 ausfindig                & 0                    &          46808 & 448                \\
 wovon                    & 0                    &          46808 & 448                \\
 namen                    & 0                    &          46808 & 448                \\
 geschrieben              & 1                    &          46872 & 449                \\
 stehn                    & 1                    &          46872 & 449                \\
 gar                      & 0                    &          46872 & 449                \\
 ausfindig                & 0                    &          46872 & 449                \\
 namen                    & 1                    &          46928 & 450                \\
 schreiber                & 1                    &          46992 & 451                \\
 aufgeschrieben           & 1                    &          47056 & 452                \\
 muß                      & 2                    &          47056 & 452                \\
 gelahrten                & 1                    &          47120 & 453                \\
 dritte                   & 0                    &          47120 & 453                \\
 szene                    & 2                    &          47120 & 453                \\
 zimmer                   & 1                    &          47176 & 454                \\
 capulets                 & 2                    &          47176 & 454                \\
 hause                    & 1                    &          47176 & 454                \\
 gräfin                   & 7                    &          47176 & 454                \\
 capulet                  & 8                    &          47176 & 454                \\
 wärterin                 & 2                    &          47176 & 454                \\
 gräfin                   & 8                    &          47176 & 454                \\
 capulet                  & 8                    &          47176 & 454                \\
 ruft                     & 1                    &          47232 & 455                \\
 tochter                  & 2                    &          47232 & 455                \\
 her                      & 1                    &          47288 & 456                \\
 amme                     & 1                    &          47344 & 457                \\
 wärterin                 & 3                    &          47344 & 457                \\
 jungfernschaft           & 0                    &          47344 & 457                \\
 zwölften                 & 1                    &          47432 & 458                \\
 jahr                     & 1                    &          47488 & 459                \\
 rief                     & 0                    &          47488 & 459                \\
 schonhe                  & 0                    &          47488 & 459                \\
 lämmchen                 & 0                    &          47488 & 459                \\
 zartes                   & 1                    &          47544 & 460                \\
 täubchen                 & 1                    &          47632 & 461                \\
 gott                     & 0                    &          47632 & 461                \\
 kind                     & 2                    &          47632 & 461                \\
 he                       & 1                    &          47632 & 461                \\
 juliette                 & 1                    &          47696 & 462                \\
 julia                    & 1                    &          47696 & 462                \\
 kommt                    & 1                    &          47696 & 462                \\
 julia                    & 1                    &          47696 & 462                \\
 wer                      & 2                    &          47696 & 462                \\
 ruft                     & 2                    &          47696 & 462                \\
 wärterin                 & 4                    &          47696 & 462                \\
 mutter                   & 0                    &          47696 & 462                \\
 julia                    & 2                    &          47696 & 462                \\
 gnädge                   & 0                    &          47696 & 462                \\
 mutter                   & 1                    &          47752 & 463                \\
 beliebt                  & 0                    &          47752 & 463                \\
 gräfin                   & 8                    &          47752 & 463                \\
 capulet                  & 8                    &          47752 & 463                \\
 sach                     & 0                    &          47752 & 463                \\
 dieseamme                & 0                    &          47752 & 463                \\
 geh                      & 1                    &          47808 & 464                \\
 beiseit                  & 0                    &          47808 & 464                \\
 müssen                   & 1                    &          47888 & 465                \\
 heimlich                 & 0                    &          47888 & 465                \\
 sprechenamme             & 1                    &          47952 & 466                \\
 komm                     & 0                    &          47952 & 466                \\
 her                      & 2                    &          47952 & 466                \\
 besonnen                 & 1                    &          48016 & 467                \\
 überlegung               & 0                    &          48016 & 467                \\
 ziehn                    & 1                    &          48016 & 467                \\
 weißt                    & 1                    &          48096 & 468                \\
 kind                     & 2                    &          48096 & 468                \\
 schon                    & 4                    &          48096 & 468                \\
 hübsches                 & 0                    &          48096 & 468                \\
 alter                    & 1                    &          48152 & 469                \\
 wärterin                 & 4                    &          48152 & 469                \\
 zähl                     & 1                    &          48232 & 470                \\
 treu                     & 1                    &          48288 & 471                \\
 finger                   & 1                    &          48344 & 472                \\
 her                      & 2                    &          48344 & 472                \\
 gräfin                   & 9                    &          48344 & 472                \\
 capulet                  & 8                    &          48344 & 472                \\
 vierzehn                 & 1                    &          48344 & 472                \\
 jahre                    & 1                    &          48400 & 473                \\
 wärterin                 & 4                    &          48400 & 473                \\
 wette                    & 0                    &          48400 & 473                \\
 vierzehn                 & 1                    &          48400 & 473                \\
 zähne                    & 1                    &          48480 & 474                \\
 drauf                    & 1                    &          48536 & 475                \\
 vier                     & 0                    &          48536 & 475                \\
 zahn                     & 1                    &          48592 & 476                \\
 arme                     & 1                    &          48648 & 477                \\
 frau                     & 1                    &          48704 & 478                \\
 vierzehn                 & 2                    &          48704 & 478                \\
 lang                     & 1                    &          48760 & 479                \\
 ists                     & 2                    &          48760 & 479                \\
 johannis                 & 0                    &          48760 & 479                \\
 gräfin                   & 10                   &          48792 & 479                \\
 capulet                  & 9                    &          48760 & 479                \\
 vierzehn                 & 2                    &          48760 & 479                \\
 tag                      & 0                    &          48760 & 479                \\
 drüber                   & 0                    &          48760 & 479                \\
 wärterin                 & 4                    &          48760 & 479                \\
 drüber                   & 1                    &          48840 & 480                \\
 drunter                  & 0                    &          48840 & 480                \\
 just                     & 1                    &          48896 & 481                \\
 tag                      & 0                    &          48896 & 481                \\
 johannistag              & 1                    &          48960 & 482                \\
 abend                    & 0                    &          48960 & 482                \\
 vierzehn                 & 2                    &          48960 & 482                \\
 suschen                  & 1                    &          49016 & 483                \\
 siegott                  & 1                    &          49072 & 484                \\
 gebe                     & 1                    &          49072 & 484                \\
 christen                 & 0                    &          49072 & 484                \\
 ewge                     & 0                    &          49072 & 484                \\
 lebenwaren               & 0                    &          49072 & 484                \\
 alters                   & 0                    &          49072 & 484                \\
 suschen                  & 2                    &          49072 & 484                \\
 gott                     & 0                    &          49072 & 484                \\
 gut                      & 1                    &          49128 & 485                \\
 sagte                    & 1                    &          49184 & 486                \\
 johannistag              & 1                    &          49184 & 486                \\
 abend                    & 0                    &          49184 & 486                \\
 vierzehn                 & 3                    &          49184 & 486                \\
 treu                     & 1                    &          49184 & 486                \\
 weiß                     & 3                    &          49184 & 486                \\
 recht                    & 2                    &          49184 & 486                \\
 gut                      & 1                    &          49184 & 486                \\
 elf                      & 1                    &          49240 & 487                \\
 jahr                     & 2                    &          49240 & 487                \\
 ists                     & 3                    &          49240 & 487                \\
 her                      & 3                    &          49240 & 487                \\
 seit                     & 0                    &          49240 & 487                \\
 s                        & 0                    &          49240 & 487                \\
 erdbeben                 & 1                    &          49304 & 488                \\
 entwöhnte                & 0                    &          49304 & 488                \\
 siemein                  & 1                    &          49360 & 489                \\
 leben                    & 1                    &          49360 & 489                \\
 lang                     & 2                    &          49360 & 489                \\
 vergeß                   & 0                    &          49360 & 489                \\
 ichs                     & 1                    &          49416 & 490                \\
 nichtjust                & 1                    &          49480 & 491                \\
 tag                      & 0                    &          49480 & 491                \\
 wermut                   & 0                    &          49480 & 491                \\
 brust                    & 1                    &          49536 & 492                \\
 gelegt                   & 0                    &          49536 & 492                \\
 saß                      & 0                    &          49536 & 492                \\
 taubenschlage            & 1                    &          49600 & 493                \\
 sonne                    & 2                    &          49600 & 493                \\
 gnädge                   & 1                    &          49680 & 494                \\
 herrschaft               & 0                    &          49680 & 494                \\
 mantua                   & 1                    &          49680 & 494                \\
 ja                       & 0                    &          49680 & 494                \\
 ja                       & 0                    &          49680 & 494                \\
 grütz                    & 1                    &          49760 & 495                \\
 kopf                     & 1                    &          49816 & 496                \\
 sagte                    & 2                    &          49816 & 496                \\
 wermut                   & 0                    &          49816 & 496                \\
 warze                    & 1                    &          49872 & 497                \\
 schmeckte                & 0                    &          49872 & 497                \\
 fand                     & 1                    &          49928 & 498                \\
 bitternärrsches          & 1                    &          50016 & 499                \\
 kleines                  & 0                    &          50016 & 499                \\
 ding                     & 1                    &          50072 & 500                \\
 wies                     & 1                    &          50128 & 501                \\
 böse                     & 0                    &          50128 & 501                \\
 ward                     & 1                    &          50184 & 502                \\
 zog                      & 1                    &          50240 & 503                \\
 brust                    & 2                    &          50240 & 503                \\
 gsicht                   & 1                    &          50296 & 504                \\
 krach                    & 1                    &          50352 & 505                \\
 sagt                     & 1                    &          50352 & 505                \\
 taubenschlag             & 1                    &          50416 & 506                \\
 fürwahr                  & 1                    &          50496 & 507                \\
 wußte                    & 1                    &          50576 & 508                \\
 tummeln                  & 1                    &          50632 & 509                \\
 seit                     & 1                    &          50688 & 510                \\
 zeit                     & 2                    &          50688 & 510                \\
 ists                     & 4                    &          50688 & 510                \\
 elf                      & 2                    &          50688 & 510                \\
 jahre                    & 2                    &          50688 & 510                \\
 her                      & 3                    &          50688 & 510                \\
 damals                   & 1                    &          50744 & 511                \\
 stand                    & 1                    &          50800 & 512                \\
 schon                    & 4                    &          50800 & 512                \\
 allein                   & 2                    &          50800 & 512                \\
 treu                     & 1                    &          50800 & 512                \\
 lief                     & 0                    &          50800 & 512                \\
 watschelt                & 1                    &          50864 & 513                \\
 schon                    & 4                    &          50864 & 513                \\
 flink                    & 0                    &          50864 & 513                \\
 herum                    & 2                    &          50864 & 513                \\
 tags                     & 1                    &          50920 & 514                \\
 zuvor                    & 1                    &          50976 & 515                \\
 fiel                     & 0                    &          50976 & 515                \\
 stirn                    & 1                    &          51032 & 516                \\
 entzwei                  & 1                    &          51088 & 517                \\
 hob                      & 1                    &          51144 & 518                \\
 manngott                 & 0                    &          51144 & 518                \\
 selig                    & 0                    &          51144 & 518                \\
 lustger                  & 0                    &          51144 & 518                \\
 mannvom                  & 0                    &          51144 & 518                \\
 boden                    & 0                    &          51144 & 518                \\
 ei                       & 0                    &          51144 & 518                \\
 sagt                     & 1                    &          51144 & 518                \\
 fällst                   & 0                    &          51144 & 518                \\
 gesicht                  & 1                    &          51144 & 518                \\
 rücklings                & 1                    &          51232 & 519                \\
 fallen                   & 1                    &          51288 & 520                \\
 klüger                   & 0                    &          51288 & 520                \\
 wahr                     & 1                    &          51288 & 520                \\
 kind                     & 3                    &          51288 & 520                \\
 liebe                    & 3                    &          51288 & 520                \\
 heilge                   & 1                    &          51288 & 520                \\
 frau                     & 2                    &          51288 & 520                \\
 mädchen                  & 2                    &          51288 & 520                \\
 schrie                   & 0                    &          51288 & 520                \\
 mehr                     & 2                    &          51288 & 520                \\
 sagte                    & 2                    &          51288 & 520                \\
 ja                       & 1                    &          51344 & 521                \\
 seh                      & 1                    &          51400 & 522                \\
 n                        & 0                    &          51400 & 522                \\
 spaß                     & 0                    &          51400 & 522                \\
 vorschein                & 1                    &          51464 & 523                \\
 kommt                    & 1                    &          51464 & 523                \\
 lebt                     & 1                    &          51464 & 523                \\
 tausend                  & 0                    &          51464 & 523                \\
 jahre                    & 2                    &          51464 & 523                \\
 lang                     & 3                    &          51464 & 523                \\
 wette                    & 1                    &          51520 & 524                \\
 nie                      & 1                    &          51576 & 525                \\
 vergaß                   & 1                    &          51656 & 526                \\
 wahr                     & 2                    &          51656 & 526                \\
 kind                     & 4                    &          51656 & 526                \\
 sagt                     & 2                    &          51656 & 526                \\
 s                        & 0                    &          51656 & 526                \\
 liebe                    & 4                    &          51656 & 526                \\
 närrchen                 & 0                    &          51656 & 526                \\
 ward                     & 1                    &          51656 & 526                \\
 still                    & 1                    &          51712 & 527                \\
 sagte                    & 2                    &          51712 & 527                \\
 ja                       & 1                    &          51712 & 527                \\
 gräfin                   & 10                   &          51712 & 527                \\
 capulet                  & 9                    &          51712 & 527                \\
 genug                    & 1                    &          51768 & 528                \\
 davon                    & 1                    &          51768 & 528                \\
 bitte                    & 0                    &          51768 & 528                \\
 halt                     & 0                    &          51768 & 528                \\
 ruhig                    & 0                    &          51768 & 528                \\
 wärterin                 & 4                    &          51768 & 528                \\
 ja                       & 2                    &          51768 & 528                \\
 gnädge                   & 2                    &          51768 & 528                \\
 frau                     & 2                    &          51768 & 528                \\
 lächerts                 & 1                    &          51856 & 529                \\
 immer                    & 1                    &          51912 & 530                \\
