fixed_prob_counter memory usage
\begin{tabular}{llrl}
\hline
 Current Word             & Current Word Count   &   Memory Usage & \# Distinct Words   \\
\hline
                          &                      &             64 &                    \\
 warengleich              & 1                    &           5592 & 51                 \\
 würdigkeit               & 1                    &           5680 & 52                 \\
 verona                   & 3                    &           5680 & 52                 \\
 handlung                 & 0                    &           5680 & 52                 \\
 steckt                   & 0                    &           5680 & 52                 \\
 alten                    & 0                    &           5680 & 52                 \\
 groll                    & 1                    &           5736 & 53                 \\
 neuem                    & 0                    &           5736 & 53                 \\
 kampf                    & 1                    &           5792 & 54                 \\
 bereit                   & 0                    &           5792 & 54                 \\
 bürgerblut               & 0                    &           5792 & 54                 \\
 bürgerhand               & 1                    &           5880 & 55                 \\
 befleckt                 & 0                    &           5880 & 55                 \\
 feinde                   & 0                    &           5880 & 55                 \\
 unheilvollem             & 1                    &           5944 & 56                 \\
 schoß                    & 1                    &           6024 & 57                 \\
 leben                    & 1                    &           6080 & 58                 \\
 zweier                   & 1                    &           6136 & 59                 \\
 liebender                & 0                    &           6136 & 59                 \\
 entsprang                & 1                    &           6200 & 60                 \\
 unglückselges            & 0                    &           6200 & 60                 \\
 ende                     & 0                    &           6200 & 60                 \\
 bloß                     & 1                    &           6280 & 61                 \\
 tod                      & 0                    &           6280 & 61                 \\
 begraben                 & 1                    &           6344 & 62                 \\
 elterlichen              & 1                    &           6408 & 63                 \\
 zank                     & 0                    &           6408 & 63                 \\
 hergang                  & 0                    &           6408 & 63                 \\
 todgeweihten             & 0                    &           6408 & 63                 \\
 lieb                     & 0                    &           6408 & 63                 \\
 verlauf                  & 0                    &           6408 & 63                 \\
 elterlichen              & 1                    &           6408 & 63                 \\
 wut                      & 0                    &           6408 & 63                 \\
 kinder                   & 0                    &           6408 & 63                 \\
 tod                      & 1                    &           6464 & 64                 \\
 dannen                   & 1                    &           6520 & 65                 \\
 trieb                    & 1                    &           6576 & 66                 \\
 zwei                     & 1                    &           6632 & 67                 \\
 stunden                  & 0                    &           6632 & 67                 \\
 lang                     & 0                    &           6632 & 67                 \\
 bühne                    & 0                    &           6632 & 67                 \\
 gut                      & 0                    &           6632 & 67                 \\
 dran                     & 0                    &           6632 & 67                 \\
 fehlt                    & 1                    &           6688 & 68                 \\
 hört                     & 0                    &           6688 & 68                 \\
 geduldgem                & 0                    &           6688 & 68                 \\
 ohr                      & 0                    &           6688 & 68                 \\
 bringt                   & 0                    &           6688 & 68                 \\
 hoffentlich              & 1                    &           6752 & 69                 \\
 unsre                    & 0                    &           6752 & 69                 \\
 müh                      & 1                    &           6832 & 70                 \\
 hervor                   & 1                    &           6888 & 71                 \\
 erster                   & 0                    &           6888 & 71                 \\
 akt                      & 0                    &           6888 & 71                 \\
 erste                    & 0                    &           6888 & 71                 \\
 szene                    & 1                    &           6944 & 72                 \\
 öffentlicher             & 1                    &           7032 & 73                 \\
 platz                    & 1                    &           7088 & 74                 \\
 simson                   & 2                    &           7088 & 74                 \\
 gregorio                 & 1                    &           7152 & 75                 \\
 zwei                     & 1                    &           7152 & 75                 \\
 bediente                 & 1                    &           7216 & 76                 \\
 capulets                 & 1                    &           7216 & 76                 \\
 treten                   & 1                    &           7272 & 77                 \\
 bewaffnet                & 0                    &           7272 & 77                 \\
 schwertern               & 1                    &           7336 & 78                 \\
 schilden                 & 1                    &           7400 & 79                 \\
 simson                   & 2                    &           7400 & 79                 \\
 wort                     & 1                    &           7456 & 80                 \\
 gregorio                 & 1                    &           7456 & 80                 \\
 tasche                   & 1                    &           7512 & 81                 \\
 stecken                  & 1                    &           7568 & 82                 \\
 gregorio                 & 1                    &           7568 & 82                 \\
 freilich                 & 1                    &           7632 & 83                 \\
 wären                    & 0                    &           7632 & 83                 \\
 taschenspieler           & 1                    &           7696 & 84                 \\
 simson                   & 3                    &           7696 & 84                 \\
 koller                   & 1                    &           7752 & 85                 \\
 kriegen                  & 0                    &           7752 & 85                 \\
 leder                    & 1                    &          10232 & 86                 \\
 ziehn                    & 0                    &          10232 & 86                 \\
 gregorio                 & 2                    &          10232 & 86                 \\
 ne                       & 1                    &          10288 & 87                 \\
 freund                   & 1                    &          10288 & 87                 \\
 ledernen                 & 1                    &          10352 & 88                 \\
 koller                   & 2                    &          10352 & 88                 \\
 mußt                     & 0                    &          10352 & 88                 \\
 leibe                    & 0                    &          10352 & 88                 \\
 ausziehen                & 1                    &          10416 & 89                 \\
 simson                   & 4                    &          10416 & 89                 \\
 schlage                  & 1                    &          10472 & 90                 \\
 geschwind                & 1                    &          10536 & 91                 \\
 aufgebracht              & 1                    &          10600 & 92                 \\
 gregorio                 & 3                    &          10600 & 92                 \\
 geschwind                & 1                    &          10600 & 92                 \\
 aufgebracht              & 2                    &          10600 & 92                 \\
 simson                   & 5                    &          10632 & 92                 \\
 hund                     & 0                    &          10632 & 92                 \\
 montagues                & 2                    &          10632 & 92                 \\
 hause                    & 0                    &          10632 & 92                 \\
 bringt                   & 0                    &          10632 & 92                 \\
 schon                    & 0                    &          10632 & 92                 \\
 gregorio                 & 3                    &          10632 & 92                 \\
 aufbringen               & 1                    &          10696 & 93                 \\
 heißt                    & 0                    &          10696 & 93                 \\
 stelle                   & 0                    &          10696 & 93                 \\
 schaffen                 & 1                    &          10760 & 94                 \\
 tapfer                   & 1                    &          10816 & 95                 \\
 muß                      & 1                    &          10896 & 96                 \\
 standhalten              & 1                    &          10960 & 97                 \\
 aufbringen               & 2                    &          10960 & 97                 \\
 läßt                     & 0                    &          10960 & 97                 \\
 läufst                   & 1                    &          11040 & 98                 \\
 davon                    & 1                    &          11096 & 99                 \\
 simson                   & 5                    &          11096 & 99                 \\
 hund                     & 1                    &          11152 & 100                \\
 hause                    & 0                    &          11152 & 100                \\
 bringt                   & 1                    &          11208 & 101                \\
 standhalten              & 2                    &          11208 & 101                \\
 bedienten                & 1                    &          11272 & 102                \\
 mädchen                  & 1                    &          11352 & 103                \\
 montagues                & 2                    &          11352 & 103                \\
 aufnehmen                & 1                    &          11416 & 104                \\
 bedienten                & 1                    &          11416 & 104                \\
 mädchen                  & 1                    &          11416 & 104                \\
 montagues                & 3                    &          11416 & 104                \\
 vorrang                  & 0                    &          11416 & 104                \\
 nehme                    & 0                    &          11416 & 104                \\
 mauerseite               & 0                    &          11416 & 104                \\
 schmutzige               & 0                    &          11416 & 104                \\
 straßenmitte             & 0                    &          11416 & 104                \\
 treten                   & 1                    &          11416 & 104                \\
 muß                      & 2                    &          11416 & 104                \\
 gregorio                 & 4                    &          11416 & 104                \\
 daran                    & 1                    &          11472 & 105                \\
 sieht                    & 1                    &          11528 & 106                \\
 schwacher                & 1                    &          11592 & 107                \\
 sklave                   & 1                    &          11648 & 108                \\
 schwächste               & 0                    &          11648 & 108                \\
 geht                     & 0                    &          11648 & 108                \\
 mauer                    & 0                    &          11648 & 108                \\
 simson                   & 6                    &          11648 & 108                \\
 wahr                     & 1                    &          11704 & 109                \\
 daher                    & 1                    &          11760 & 110                \\
 weiber                   & 1                    &          11816 & 111                \\
